,length_ms,zero_crossings_sum,std,kur,skew,mfcc_mean,mfcc_std,mfcc_max,sc_mean,sc_std,sc_min,sc_max,sc_kur,sc_skew,stft_std,stft_min,stft_kur,stft_skew,vocal_channel,emotion,emotional_intensity,statement,repetition,sex
0,3737,16995,0.014481636,9.406061240543709,0.2731533743406074,-33.485947,134.65486,171.69092,5792.550744274666,3328.0554572831006,1091.4933549200232,13541.959028242416,-1.1207685246246946,0.2509401616754532,0.33553314,0.00023314184190007144,-1.2150249712860668,0.403514030483303,speech,fearful,normal,Dogs are sitting by the door,2nd,F
1,3904,13906,0.020417225,19.56418749382661,0.2921572353640685,-29.502108,130.48563,205.0077,5197.620555017599,4040.931569613733,915.7409035651862,12000.290442552228,-1.531204256017284,0.2195817978098662,0.35238042,-0.0028389866954485624,-1.384174293987925,0.2909053051370035,speech,angry,normal,Dogs are sitting by the door,1st,F
2,4671,18723,0.024317175,4.881240559386403,0.3026589989545012,-30.532463,126.57711,165.45653,4830.743036852651,3332.1312995313765,1010.1161546521929,12007.751172967177,-1.130152744924187,0.436699155392461,0.35226968,-0.003513200231037722,-1.2429465224059983,0.4703500130240766,speech,happy,strong,Dogs are sitting by the door,2nd,F
3,3637,11617,0.0035609864,13.040259383504964,-0.0810143266840635,-36.059555,159.72516,190.03609,5376.446478268535,4053.6630731097007,943.6514292164921,12048.223892925507,-1.4977648572113873,0.0988022840910602,0.36055207,-0.004755136219857424,-1.4453181127037218,0.2747559333067913,speech,surprised,normal,Kids are talking by the door,1st,F
4,4404,15137,0.027522065,7.485109355361592,0.4148721043723152,-31.405996,122.125824,161.134,5146.012474455235,3442.7241088816854,1060.6571899317928,12025.582707366792,-1.1675439751413927,0.4960657181182721,0.35065478,-0.0023973401124779406,-1.3667420680582354,0.3189255878396368,song,happy,strong,Dogs are sitting by the door,2nd,F
5,3570,12143,0.015295548,12.775898105848588,0.0281857673162942,-30.500889,132.58173,213.68192,4251.116911942932,3833.1781833707423,742.7371974674749,12063.20074069549,-1.1145268361357537,0.5551977533598422,0.34525588,-0.003918576009406427,-1.0981794319078344,0.576157437390533,speech,fearful,normal,Dogs are sitting by the door,2nd,F
6,3770,14239,0.013859757,14.273622696675917,0.011188322909745,-30.177172,139.50746,228.32715,5718.247598119217,4008.8039781710777,935.5984755434852,12840.225341478908,-1.503746208882781,0.0922113205424383,0.34683928,-0.0010005700221552769,-1.4258984302453852,0.0271917247957143,speech,angry,normal,Dogs are sitting by the door,1st,F
7,3437,11147,0.0035258725,11.289926335091987,0.2113525112871773,-36.048576,167.65213,220.38373,6085.206268357976,3737.829447122608,1007.2478021811854,12000.006161580364,-1.6015143893609538,-0.1127366088910634,0.32824752,0.002191033925892358,-1.307958278148405,0.0568398056050616,speech,neutral,normal,Dogs are sitting by the door,2nd,F
8,3770,15293,0.005090685,5.259552005331312,-0.9644333400487632,-33.899364,159.19762,207.63217,6349.352393876921,4014.630497936632,1139.6706629566959,12081.507260260509,-1.609621759545796,-0.0726713740780695,0.32825288,0.002392212658902073,-1.2629600264070822,-0.2160204280235494,speech,calm,normal,Dogs are sitting by the door,1st,F
9,4371,13024,0.039338455,11.379088661948936,0.4750984095984663,-29.462296,116.833786,167.96753,5486.705834640869,3602.202956669995,991.3644024981206,11999.9999977299,-1.2884436090429503,0.5426999649598326,0.36764336,0.00018547727,-1.5447158205960356,-0.1419898179833361,song,sad,strong,Dogs are sitting by the door,2nd,F
10,4438,19359,0.016677132,12.331682865231096,-0.3214091729843859,-35.042236,131.51068,161.57228,4901.650921432177,2845.3148998630827,1347.2312102463868,12013.04525785134,-0.8408301683469923,0.5739096981147916,0.33302042,0.00025943015,-0.9336437274594108,0.6636392115063635,song,sad,strong,Dogs are sitting by the door,2nd,F
11,3637,12597,0.0047653625,6.579114026360848,-0.2812067196140384,-32.76429,160.37741,199.10287,6621.952371016358,3833.220188697705,1137.2086921399784,12024.657129462808,-1.6299608659392006,-0.1722632235397695,0.32737958,0.0019126519,-1.2893771302321386,-0.2905305480035377,speech,neutral,normal,Dogs are sitting by the door,2nd,F
12,3971,12339,0.0020237167,6.717218573192392,-0.6075590536651183,-34.11762,165.02167,189.05966,5016.271911026011,3239.9381566178054,993.9331191690727,12204.269010046062,-0.7343073456261426,0.6586347190005523,0.3315694,0.0010696910816645252,-1.2746397467002548,0.261846251940035,speech,calm,normal,Dogs are sitting by the door,1st,F
